//CoDeSys Mapping Export V1.2;;;;;
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name
//Important: change only first, third or fourth column in Excel or add variable name before first ;;;;;
;Зарезервировно@120;;;;A1_10
;Зарезервировно@121;;;;A1_10
;Зарезервировно@122;;;;A1_10
;Зарезервировно@123;;;;A1_10
;Зарезервировно@124;;;;A1_10
;Зарезервировно@125;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch21;>Достоверность значения@20;;;;A1_10
;di22;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch22;Значение@21;;;;A1_10
;Зарезервировно@126;;;;A1_10
;Зарезервировно@127;;;;A1_10
;Зарезервировно@128;;;;A1_10
;Зарезервировно@129;;;;A1_10
;Зарезервировно@130;;;;A1_10
;Зарезервировно@131;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch22;>Достоверность значения@21;;;;A1_10
;di23;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch23;Значение@22;;;;A1_10
;Зарезервировно@132;;;;A1_10
;Зарезервировно@133;;;;A1_10
;Зарезервировно@134;;;;A1_10
;Зарезервировно@135;;;;A1_10
;Зарезервировно@136;;;;A1_10
;Зарезервировно@137;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch23;>Достоверность значения@22;;;;A1_10
;di24;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch24;Значение@23;;;;A1_10
;Зарезервировно@138;;;;A1_10
;Зарезервировно@139;;;;A1_10
;Зарезервировно@140;;;;A1_10
;Зарезервировно@141;;;;A1_10
;Зарезервировно@142;;;;A1_10
;Зарезервировно@143;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch24;>Достоверность значения@23;;;;A1_10
;di25;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch25;Значение@24;;;;A1_10
;Зарезервировно@144;;;;A1_10
;Зарезервировно@145;;;;A1_10
;Зарезервировно@146;;;;A1_10
;Зарезервировно@147;;;;A1_10
;Зарезервировно@148;;;;A1_10
;Зарезервировно@149;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch25;>Достоверность значения@24;;;;A1_10
;di26;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch26;Значение@25;;;;A1_10
;Зарезервировно@150;;;;A1_10
;Зарезервировно@151;;;;A1_10
;Зарезервировно@152;;;;A1_10
;Зарезервировно@153;;;;A1_10
;Зарезервировно@154;;;;A1_10
;Зарезервировно@155;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.check_ch26;>Достоверность значения@25;;;;A1_10
;di27;;;;A1_10
Application_PAZ.PAZ_GVL.A1_10.in_ch27;Значение@26;;;;A1_10
;Зарезервировно@156;;;;A1_10
;Зарезервировно@157;;;;A1_10
;Зарезервировно@158;;;;A1_10
;Зарезервировно@159;;;;A1_10
;Зарезервировно@160;;;;A1_10
